timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,-0.489,2.318,-35.951,1.74E+15,0.102906676,0.051018641,0.092556898
1.74E+15,-0.491,2.314,-35.952,1.74E+15,0.102597,0.051493,0.092747
1.74E+15,-0.493,2.311,-35.954,1.74E+15,0.10253,0.052634,0.091468
1.74E+15,-0.492,2.31,-35.953,1.74E+15,0.102536659,0.051885931,0.092187211
1.74E+15,-0.494,2.306,-35.955,1.74E+15,0.102955,0.051605,0.092196
1.74E+15,-0.492,2.309,-35.956,1.74E+15,0.102955,0.051605,0.092196
1.74E+15,-0.494,2.306,-35.959,1.74E+15,0.102955,0.051605,0.092196
1.74E+15,-0.491,2.312,-35.959,1.74E+15,0.102479,0.051701,0.092133
1.74E+15,-0.494,2.304,-35.962,1.74E+15,0.102479,0.051701,0.092133
1.74E+15,-0.492,2.309,-35.962,1.74E+15,0.103399342,0.049937663,0.09326974
1.74E+15,-0.492,2.307,-35.964,1.74E+15,0.103538,0.049672,0.093441
1.74E+15,-0.492,2.308,-35.965,1.74E+15,0.102805024,0.050937698,0.092408909
1.74E+15,-0.492,2.309,-35.966,1.74E+15,0.102783,0.052226,0.091273
1.74E+15,-0.492,2.309,-35.967,1.74E+15,0.103377963,0.050056137,0.093443774
1.74E+15,-0.487,2.312,-35.971,1.74E+15,0.102689,0.05098,0.092498
1.74E+15,-0.492,2.305,-35.972,1.74E+15,0.102884,0.05184,0.091329
1.74E+15,-0.492,2.304,-35.975,1.74E+15,0.102884,0.05184,0.091329
1.74E+15,-0.492,2.301,-35.975,1.74E+15,0.102846,0.051707,0.09199
1.74E+15,-0.49,2.305,-35.976,1.74E+15,0.103039,0.051352,0.091488
1.74E+15,-0.49,2.305,-35.977,1.74E+15,0.103114621,0.050638694,0.093316829
1.74E+15,-0.49,2.303,-35.983,1.74E+15,0.102575,0.051394,0.091934
1.74E+15,-0.49,2.31,-35.98,1.74E+15,0.10311052,0.050894119,0.091854282
1.74E+15,-0.502,2.286,-35.982,1.74E+15,0.103127,0.050698,0.093273
1.74E+15,-0.499,2.295,-35.982,1.74E+15,0.102408,0.051781,0.091368
